Block,In-Game Time,DifficultyLevel,,CurrentX,CurrentY,CurrentZ,obstacleCarX,obstacleCarY,obstacleCarZ,obstacleRBX,obstacleRBY,obstacleRBZ,,Points,PassingCar?,PassingRB?,,Carcrash?,CrashCarX,CrashCarY,crashCarZ,totalCarCrash,,RBCrash?,CrashRB-X,CrashRB-Y,CrashRB-Z,totalRBCrash,,BeepPlayed,WaitingForResponse,SpacePressed,responseTime,,noResponse,NoResponseTime,,Baseline,Mean,SD,CriticalPoint,,movingAvg1,movingAvg2,movingAvg3,,movingAvg1*0.5,movingAvg2,movingAvg3*2,WMATotal,,critPointCounter,noCritPointCounter,DifficultyAdjust,,CarSpawned?,SpawnCarX,SpawnCarY,SpawnCarZ,RBSpawned?,SpawnRB-X,SpawnRB-Y,SpawnRB-Z,,LeftButtonDown,RightButtonDown
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0
